店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
餃子 小籠包 福包酒場ー池袋サンシャイン60通り店,050-5493-7684,,東京都,豊島区東池袋,1-12-10,ヤンズビル6F,https://ghw5200.gorp.jp/,True
ハワイアンリゾートキッチン 食べ放題×個室 ラハイナ 池袋店,03-4361-9248,,東京都,豊島区西池袋,3-29-4,5F,https://ghx3201.gorp.jp/,True
隠れ房 池袋店,050-5484-4920,,東京都,豊島区東池袋,1-41-4,池袋とうきゅうビル6F,https://www.dd-holdings.jp/shops/kakurebo/ikebukuro,True
音音ー池袋店,050-5484-7260,,東京都,豊島区南池袋,1-19-5,MI PLAZA 5F,https://xn--btww41d9rka.com/,True
全席個室 楽蔵‐RAKUZO‐ー池袋西口店,050-5486-0715,,東京都,豊島区西池袋,1-21-1,YKDビル3F,http://rakuzo.dkdining.com/ikebukuro/,False
焼き鳥にこだわった個室居酒屋ー地鶏の王様 池袋本店,050-5485-4042,,東京都,豊島区南池袋,1-20-11,池袋第5ビル7F,https://ge6a103.gorp.jp/,True
池袋ー和食居酒屋 雑草庵,050-5484-4936,,東京都,豊島区池袋,2-12-13,十二ビル,https://p870100.gorp.jp/,True
京風個室 創作酒庵 彩蔵ー池袋,050-5484-5171,,東京都,豊島区東池袋,1-29-1,8F,https://p391701.gorp.jp/,True
完全個室 本格和食と海鮮居酒屋ー魚銀 池袋本店,050-5488-2592,,東京都,豊島区南池袋,1-20-11,5F,https://ge0m114.gorp.jp/,True
北海道直送鮮魚と日本酒 完全個室居酒屋 あばれ鮮魚 池袋店,050-5484-3624,,東京都,豊島区南池袋,1-23-11,ブロンズビル4F,https://gcd1117.gorp.jp/,True
鹿児島県霧島市 塚田農場ー池袋西口公園店,050-5486-4674,,東京都,豊島区西池袋,1-10-8,サン・グロウビル2F,https://g753363.gorp.jp/,True
夜景×和モダン つるや 池袋西口店,050-5484-8666,,東京都,豊島区西池袋,1-13-5,シーガルハウス4F,https://gh96902.gorp.jp/,True
4種の牛タン＆おでん食べ放題ー完全個室居酒屋 やまと 池袋,050-5493-8491,,東京都,豊島区南池袋,1-23-11,池袋ブロンズビル3F,https://ghe8006.gorp.jp/,True
芝浦食肉ー池袋東口店,050-5487-5519,,東京都,豊島区南池袋,2-16-8,藤久ビル東3号館1F,https://g753353.gorp.jp/,True
串焼きと野菜巻き 完全個室居酒屋 串治郎 池袋店,050-5488-3784,,東京都,豊島区南池袋,1-27-8,大庄池袋東口ビル3F,https://gg93508.gorp.jp/,True
全席完全個室和食居酒屋ー和金 池袋東口店,050-5485-6726,,東京都,豊島区南池袋,1-23-11,ブロンズビル5F,https://gcbm301.gorp.jp/,True
蜂蜜とチーズーBEEHOUSE‐ビーハウス‐ 池袋店,050-5485-3827,,東京都,豊島区南池袋,1-22-2,FLCビル8F,https://a058450.gorp.jp/,True
野菜巻き串と肉料理の店ーまんさん 池袋西口,050-5486-5742,,東京都,豊島区西池袋,3-23-8,MARUビル2F,https://mansun.gorp.jp/,True
