店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
大人数宴会◎全席個室 古今の屋 八王子駅前店,050-5486-6045,,東京都,八王子市旭町,6-10,第51東京ビル5F,https://r.gnavi.co.jp/c088t36g0000/,True
完全個室居酒屋 和食の故郷 花道 赤坂見附店,050-5485-3035,,東京都,港区赤坂,3-9-1,B2,https://r.gnavi.co.jp/aeebgy0w0000/,True
香香王子店,050-5487-8311,,東京都,北区岸町,1-1-7,新扇屋ビル,https://r.gnavi.co.jp/fdn145ys0000/,True
肉VS魚 個室居酒屋 肉浜 新橋店,050-5494-4595,,東京都,港区新橋,1-16-8,第三西欧ビルB1,https://r.gnavi.co.jp/pph4y6np0000/,True
0秒レモンサワー仙台ホルモン焼肉酒場ときわ亭十三西口店,050-5487-9982,,大阪府,大阪市淀川区十三本町,1-7-27,1F,https://r.gnavi.co.jp/asbe5e280000/,True
大衆韓国酒場チュルギダ,050-5488-0501,,東京都,千代田区鍛冶町,1-9-19,GEMS神田2F,https://r.gnavi.co.jp/3f6ev8pe0000/,True
黒毛和牛焼肉 食べ放題 九田家‐kudaya‐,050-5487-0604,,東京都,豊島区西池袋,1-38-3,VORTビル4F,https://r.gnavi.co.jp/7u7cvkur0000/,True
299円均一個室居酒屋 九十九 TSUKUMO 川崎店,050-5493-8878,,神奈川県,川崎市川崎区駅前本町,4-12,ムラタヤビルアネックス5F,https://r.gnavi.co.jp/hrcjvea30000/,True
エスニックダイニングバー DIPGARDEN TOKYO 日比谷グルメリウム店,050-5486-7250,,東京都,千代田区内幸町,2-1-6,B1,https://r.gnavi.co.jp/nycwthv00000/,True
完全個室居酒屋 順順餃子酒場 大宮店,050-5485-3452,,埼玉県,さいたま市大宮区大門町,1-20-3,角井ビル2F,https://r.gnavi.co.jp/8xz3f7hg0000/,True
九州地鶏 海鮮 刺身 食べ放題 完全個室居酒屋 吉蔵 浦和店,050-5494-8650,,埼玉県,さいたま市浦和区仲町,1-1-13,浦和駅前ビル 4F,https://r.gnavi.co.jp/ptytkyga0000/,True
肉問屋直営 1980円焼肉食べ放題 牛宮 上野店,050-5486-0317,,東京都,台東区上野,6-13-6,武文ビル 3F,https://r.gnavi.co.jp/7w3g8a410000/,True
焼肉DINING 牛勢（ぎゅうせ） 上野店,050-5486-6301,,東京都,台東区上野,2-12-9,,https://r.gnavi.co.jp/snv8gzwj0000/,True
お好み焼き・もんじゃ焼き食べ放題 鎌倉愡太郎,050-5486-0239,,神奈川県,鎌倉市小町,2-7-34,,https://r.gnavi.co.jp/a096200/,True
栄華楼 品川グランドセントラルタワー店,050-5486-2391,,東京都,港区港南,2-16-3,品川グランドセントラルタワー1F,https://r.gnavi.co.jp/b232405/,True
Pizzeria Trattoria PECORINO イオン幕張店,050-5484-0630,,千葉県,千葉市美浜区ひび野,1-3,イオン幕張店1F,https://r.gnavi.co.jp/rmecc00v0000/,True
しゃぶしゃぶ わら焼きダイニング ebass,0287-73-5722,,栃木県,那須塩原市末広町,53-91,,https://r.gnavi.co.jp/ku6gdpmx0000/,True
大衆博多酒店 うまいもん酒場 天神店,050-5492-7653,,福岡県,福岡市中央区天神,2-7-6,DADAビルB1,https://r.gnavi.co.jp/fccmb6s70000/,True
160種類食べ飲み放題 個室居酒屋 いろり屋 鹿児島天文館店,050-5494-0528,,鹿児島県,鹿児島市東千石町,1-26,フォリス観光ビル天文館6F,https://r.gnavi.co.jp/acbn169b0000/,True
シュラスコ食べ放題＆フランベステーキ 肉バル Fire＆Ice 新宿,050-5492-8641,,東京都,新宿区歌舞伎町,1-23-13,下村ビル4F,https://r.gnavi.co.jp/pp4z1k7b0000/,True
自家製中華食べ放題×少人数貸切 福盈門 新橋店（駅徒歩1分）,03-6413-6458,,東京都,港区新橋,2-16-1,ニュー新橋ビルB1-42,https://r.gnavi.co.jp/g926002/,True
博多串焼き食べ放題 博多料理完全個室居酒屋 金の器 錦糸町店,050-5494-4593,,東京都,墨田区江東橋,4-28-1,下町ビル1F,https://r.gnavi.co.jp/kdbd8tvy0000/,True
名古屋名物 コーチン・知多豚 秀よし,050-5488-2269,,愛知県,名古屋市中村区則武,1-7-15,,https://r.gnavi.co.jp/5fbgzxhh0000/,True
聚福縁,050-5487-1858,,東京都,港区赤坂,3-6-12,1F,https://r.gnavi.co.jp/prhp6j1f0000/,True
魚介イタリアン×チーズ UMIラボ千葉店,050-5488-2954,,千葉県,千葉市中央区登戸,1-13-22,シティファイブビルA棟1F,https://r.gnavi.co.jp/nf6us7dj0000/,True
全席個室 単品料理全品390円 三国中華居酒屋 浦和店,050-5485-1144,,埼玉県,さいたま市浦和区仲町,1-1-13,3F,https://r.gnavi.co.jp/358ddcrm0000/,True
完全個室×京都駅前 京甚兵衛,050-5487-6408,,京都,府京都市下京区東塩小路町,557-1,4F,https://r.gnavi.co.jp/6c9k8wmx0000/,True
焼肉 牛舞 袋町店,050-5492-1652,,広島県,広島市中区袋町,6-4,,https://r.gnavi.co.jp/kum15p9s0000/,True
100円寿司と天ぷらの海鮮酒場 海のちから 新宿東口店,050-5486-4664,,東京都,新宿区歌舞伎町,1-18-7,新宿第一ビル,https://r.gnavi.co.jp/4bs240nr0000/,True
しゃぶしゃぶ すき焼きしゃぶ禅 小倉店,050-5484-2153,,福岡県,北九州市小倉北区鍛冶町,1-10-10,大同生命北九州ビル11F,https://r.gnavi.co.jp/f000302/,True
全席個室 最大150種類食べ飲み放題 和楽居（わらい） 天神店,050-5487-9614,,福岡県,福岡市中央区天神,2-7-6,DADAビルB1,https://r.gnavi.co.jp/933uk4hz0000/,True
全席完全個室居酒屋 食べ放題 鳥江戸こまち 新橋本店,050-5493-7323,,東京都,港区新橋,2-2-6,1F,https://r.gnavi.co.jp/hj8xdfcc0000/,True
3時間飲み放題＆食べ放題 個室居酒屋 鳥キング 新宿東口店,050-5492-1272,,東京都,新宿区歌舞伎町,1-22-6-2階,,https://r.gnavi.co.jp/pk7z9wdu0000/,True
博多串焼き＆野菜巻き 完全個室居酒屋 なまいき 渋谷店,050-5485-6672,,東京都,渋谷区宇田川町,26-3,,https://r.gnavi.co.jp/rgt38r9u0000/,True
水炊き・焼鳥 とりいちず酒場 目黒店,050-5488-0934,,東京都,品川区上大崎,2-15-1,サンプラザ目黒B1,https://r.gnavi.co.jp/5z07du4c0000/,True
居酒屋〜トキシラズ〜 個室で美味い、酒と飯。 栄店,050-5487-1691,,愛知県,名古屋市中区錦,3-22-7,ARK栄ビル6F,https://r.gnavi.co.jp/r9xe6z9s0000/,True
博多野菜巻き串焼き ここにこんね 立川店,050-5486-2944,,東京都,立川市柴崎町,3-6-23,LXビル6F,https://r.gnavi.co.jp/bjpjrbkm0000/,True
食べ放題・飲み放題 大好きや 平塚西口店,050-5486-3589,,神奈川県,平塚市紅谷町,18-8,,https://r.gnavi.co.jp/p477501/,True
和食郷土料理 個室居酒屋 へぎ蕎麦村瀬 本町店,050-5487-8530,,大阪府,大阪市中央区瓦町,3-3-16,OWL瓦町ビル1F,https://r.gnavi.co.jp/rj5zxh1g0000/,True
博多料理と野菜巻き 個室居酒屋 なまいき 本厚木店,050-5493-7237,,神奈川県,厚木市中町,2-4-16,トキワヤビル,https://r.gnavi.co.jp/7rebhk3c0000/,True
個室居酒屋 いいとこ鶏 品川店,050-5486-8587,,東京都,港区港南,2-4-18,3F,https://r.gnavi.co.jp/a2u7mn4m0000/,True
食べ飲み放題 『なべ吉』西船橋駅南口,050-5487-8213,,千葉県,船橋市印内町,564-1,島田ビル第5 2F,https://r.gnavi.co.jp/2smwygjw0000/,True
11／16オープン 完全個室居酒屋 九州酒房 黒霧屋 新横浜店,050-5486-8872,,神奈川県,横浜市港北区新横浜,2-3-11,第2徳永ビル 6F,https://r.gnavi.co.jp/5vybz9ay0000/,True
小籠包専門店 萬源酒家 オーダー式食べ放題,050-5484-3258,,神奈川県,横浜市中区山下町,187-1,,https://r.gnavi.co.jp/pnusfg230000/,True
完全個室 和牛と旬野菜のお店 奏 上野店,050-5493-8474,,東京都,台東区上野,4-8-9,3F,https://r.gnavi.co.jp/d7esc2zr0000/,True
スパイス料理専門店 インド屋 御茶ノ水ワテラス店,050-5493-7115,,東京都,千代田区神田淡路町,2-105,ワテラスアネックス3F,https://r.gnavi.co.jp/ejbvchhr0000/,True
焼肉たなか畜産 人形町店,050-5488-7698,,東京都,中央区日本橋人形町,3-12-11,グランデ人形町B1,https://r.gnavi.co.jp/j70k8g9u0000/,True
牛タンと全席完全個室 東北郷土料理居酒屋 奥羽本荘 川越店,050-5487-5785,,埼玉県,川越市新富町,1-19-2,3F,https://r.gnavi.co.jp/rmrxrmdn0000/,True
食べ飲み放題全250種 マルヤス酒場 巣鴨店,050-5486-4184,,東京都,豊島区巣鴨,2-2-5,クリオネコート2F,https://r.gnavi.co.jp/rdx0aftf0000/,True
串角 北谷店,050-5488-7547,,沖縄県,中頭郡北谷町北前,1-17-1,,https://r.gnavi.co.jp/2savbzzc0000/,True
