店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
肉問屋直営 1980円焼肉食べ放題 牛宮 上野店,050-5486-0317,,東京都,台東区上野,6-13-6,武文ビル 3F,https://r.gnavi.co.jp/7w3g8a410000/?sc_lid=r-r_display01&sc_dsp=shop_203888,True
鉄板屋 上野 三代目 圭,050-5484-9101,,東京都,台東区上野,2-11-2,NSテトラビル1F,https://r.gnavi.co.jp/a047104/?sc_lid=r-r_display01&sc_dsp=shop_207723,True
うまか 上野店,080-6321-7110,,東京都,台東区上野,4-5-5,9F,https://r.gnavi.co.jp/ddwst3k60000/?sc_lid=r-r_display01&sc_dsp=shop_212067,True
完全個室 夜景が見える博多もつ鍋＆炭火焼鳥 あかり 上野店,050-5488-1932,,東京都,台東区上野,2-12-23,上野ユーワンビル6F,https://r.gnavi.co.jp/2auk9en00000/?sc_lid=r-r_display01&sc_dsp=shop_213080,True
20種以上の日本酒と匠の大山鶏のお店 とりまる 上野店,050-5484-0565,,東京都,台東区上野,6-11-4,上野ユーワンビル6F,https://r.gnavi.co.jp/7e41x5bc0000/?sc_lid=r-r_display01&sc_dsp=shop_211630,True
地鶏食べ放題 完全個室 ごちそうさん上野店,050-5489-4854,,東京都,台東区上野,6-4-14,上野ユーワンビル6F,https://r.gnavi.co.jp/hx96p6dt0000/?sc_lid=r-r_display01&sc_dsp=shop_210999,True
全席完全個室居酒屋 京の利久 上野店,050-5487-8147,,東京都,台東区上野,7-2-1,南大門上野駅前ビル,https://r.gnavi.co.jp/bm9z23pe0000/?sc_lid=r-r_display01&sc_dsp=shop_211778,True
完全個室 夜景が見える博多もつ鍋＆炭火焼鳥 あかり 上野店,050-5488-1932,,東京都,台東区上野,2-12-23,上野ユーワンビル6F,https://r.gnavi.co.jp/2auk9en00000/?sc_lid=r-r_display01&sc_dsp=shop_213080,True
個室で130品食べ飲み放題 京 ～みやこ～ 京アメ横店,050-5493-8812,,東京都,台東区上野,6-13-9,新都乃田ビル6F,https://r.gnavi.co.jp/ptx9mtc40000/?sc_lid=r-r_display01&sc_dsp=shop_212617,True
全席完全個室居酒屋 京の利久 上野店,050-5487-8147,,東京都,台東区上野,7-2-1,南大門上野駅前ビル,https://r.gnavi.co.jp/bm9z23pe0000/?sc_lid=r-r_display01&sc_dsp=shop_211778,True
